Program,English Name,Chinese Name,Director,Country/Region,Produced Year,Premiere Status
Main Competition,Atlantic Rhapsody,大西洋,钟凯峰 (Zhong Kaifeng),中国 (China),2026,World Premiere
Main Competition,Halima,哈莉玛,亚辛·伊德里西 (Yassine Idrissi),摩洛哥 (Morocco),2026,World Premiere
Main Competition,Iluminada,微光女孩,尼古拉斯·林孔·吉耶 (Nicolás Rincón Gille),比利时 (Belgium),2026,World Premiere
Main Competition,Luiza's Desert,路易莎的沙漠,阿兰·米纳斯 (Alain Minas),"巴西、英国 (Brazil, UK)",2026,World Premiere
Main Competition,My Own Last Supper,我最后的家宴,伊斯梅尔·巴斯贝斯 (Ismail Basbeth),印度尼西亚 (Indonesia),2026,World Premiere
Main Competition,Night of Blindness,无人看见的夜晚,雷斯·塞里克 (Reis Çelik),"土耳其、德国 (Türkiye, Germany)",2026,World Premiere
Main Competition,Sea Sons,海之子,丹尼尔·梅尔库洛夫 (Daniil Merkulov),俄罗斯 (Russia),2026,World Premiere
Main Competition,Secret in the Box,纸盒藏迷,谭广源 (Tam Kwong-yuen),"中国内地、中国香港 (Mainland China, Hong Kong China)",2026,World Premiere
Main Competition,Superbuhei,超级闹市,约瑟夫·布兰德尔 (Joseph Brandl),德国 (Germany),2026,World Premiere
Main Competition,The Great Skull,燃烧吧！爸爸,刘涵阳 (Liu Hanyang),中国 (China),2026,World Premiere
Main Competition,The Miserable Mother,她们的狂想曲,苏珊娜·海因里希 (Susanne Heinrich),"德国、法国 (Germany, France)",2026,World Premiere
Main Competition,The Parking Spot,车位,路易·戈德布 (Louis Godbout),加拿大 (Canada),2026,World Premiere
Asian New Talent,9 Temples to Heaven,九庙上天堂,索波特·智德瓜索泼瑟 (Sopot Chidgasornpongse),泰国 (Thailand),2026,Asia Premiere
Asian New Talent,About the Mother,关于母亲,碧斯拉·贝尔贝尔 (Bisar Berber),土耳其 (Türkiye),2026,World Premiere
