City,District,Theatre Name (Chinese),Theatre Name (English),Address
Shanghai,Huangpu District,上海大光明电影院,Shanghai Grand Theatre Cinema,南京西路216号
Shanghai,Huangpu District,和平影都,Heping Cinema,西藏中路290号
Shanghai,Huangpu District,兰心大戏院,Lyceum Theatre,茂名南路57号
Shanghai,Huangpu District,UME影城(上海新天地店),UME Cineplex (Xintiandi),马当路388号新天地时尚商场5楼
Shanghai,Huangpu District,国泰电影院,Cathay Theatre,淮海中路870号
Shanghai,Huangpu District,黄浦剧场,Huangpu Theatre,北京东路780号
Shanghai,Huangpu District,上海科技影城,Shanghai Science & Technology Cinema,南苏州路1247号
Shanghai,Huangpu District,博纳影城(BFC外滩金融中心店),Bona Cinema (BFC Bund Finance Centre),中山东二路600号外滩金融中心区B区
Shanghai,Huangpu District,白玉兰剧场,Magnolia Theatre,重庆南路308号
Shanghai,Jing'an District,上海美琪大戏院,Majestic Theatre,江宁路66号
Shanghai,Jing'an District,上海大戏院剧院,Shanghai Theatre,江宁路466号
Shanghai,Jing'an District,上海西北电影院,Shanghai Xibei Cinema,通化路398号
Shanghai,Jing'an District,久享·上海商城剧院,Jiuxiang · Shanghai Centre Theatre,南京西路1376号4楼
Shanghai,Jing'an District,蕾映影城(大融城店),Leiying Cinema (Darong City),沪太路1111号10号1号楼1楼
Shanghai,Jing'an District,上海百美汇影城(静安嘉里中心店),Shanghai Broadway Cinema (Jing'an Kerry Centre),南京西路1515号静安嘉里中心M-A1
Shanghai,Jing'an District,佰映三克映画,Baiying Sanke Cinema,江宁路699号MOHO Mall地下1层 B105
Shanghai,Changning District,上海影城SHO,Shanghai Film Art Centre SHO,新华路160号
Shanghai,Changning District,天山电影院·虹桥艺术中心旗舰店,Tianshan Cinema (Hongqiao Art Center Flagship),天山路888号
Shanghai,Changning District,上海百丽宫影城(长宁来福士店),Shanghai Palace Cinema (Changning Raffles City),长宁路1122号TS1-T03
Shanghai,Xuhui District,天山电影院·宛平剧院影城,Tianshan Cinema (Wanping Theatre),中山南二路859号
Shanghai,Xuhui District,永乐百乐汇社会音乐厅,Yongle Bailehui Society Music Hall,天钥桥路1188号18楼
Shanghai,Xuhui District,上海百丽宫影城(环贸iapm店),Shanghai Palace Cinema (iapm),淮海中路999号L6-L01
Shanghai,Xuhui District,SFC上影影城(港汇永华IMAX激光店),SFC Cinema (Grand Gateway IMAX),虹桥路1号港汇恒隆广场6楼
Shanghai,Xuhui District,SFC动漫主题影院(美罗城店),SFC Animation Theme Cinema (Metro City),肇嘉浜路1111号美罗城5楼
Shanghai,Xuhui District,CMG融媒影城,CMG Media Cinema,龙文路19号1-4层
Shanghai,Pudong New Area,MOVIE MOViE影城(前滩太古里店),Movie Movie Cinema (Qiantan Taikoo Li),东育路500号前滩太古里东区L5-3-13
Shanghai,Pudong New Area,上海百丽宫影城(陆家嘴中心店),Shanghai Palace Cinema (Lujiazui Centre),陆家嘴西路168号陆家嘴中心地下1层L1001 1001单元
Shanghai,Pudong New Area,SFC上影万联影城(八佰伴IMAX店),SFC Cinema (Babaiban IMAX),张杨路501号8层B1001单元
Shanghai,Pudong New Area,SFC上影影城(丁香路LUXE店),SFC Cinema (Dingxiang Road LUXE),丁香路1399号
Shanghai,Pudong New Area,SFC永华电影城(世纪汇店),SFC Yonghua Cinema (Century Link),"世纪大道1192号世纪汇广场L3B022, 4层B201 1单元"
Shanghai,Pudong New Area,上海科技馆巨幕影院,Shanghai Science & Tech Museum Giant Screen,世纪大道2000号
Shanghai,Pudong New Area,临港演艺中心,Lin'gang Performing Arts Centre,环湖北三路200号
Shanghai,Minhang District,上海百丽宫影城(万象城店),Shanghai Palace Cinema (MixC),吴中路1599号L501商场
Shanghai,Minhang District,世纪友谊影城(LUXE南方商城店),Century Friendship Cinema (LUXE South Mall),沪闵路7250号苏州商汇南方商场中L二层2楼
Shanghai,Putuo District,曹杨影城,Caoyang Cinema,兰溪路125号二楼
Shanghai,Hongkou District,CGV影城(白玉兰广场IMAX店),CGV Cinema (Magnolia Plaza IMAX),东长治路588号白玉兰广场商业楼地上1号7B店
Shanghai,Hongkou District,蕾映影城(太阳宫店),Leiying Cinema (Sun Palace),锦江路1号锦江天地太阳宫L4-L1
Shanghai,Yangpu District,万达影城(五角场万达广场激光IMAX店),Wanda Cinema (Wujiaochang IMAX),邯郸路638号五角场万达广场7楼
Shanghai,Yangpu District,SFC上影影城(国华广场店),SFC Cinema (Guohua Plaza),三门路99号415室
Shanghai,Yangpu District,沪东工人文化宫东宫影剧院,Hudong Workers' Cultural Palace Cinema,平凉路1500号
Shanghai,Baoshan District,星轶STARX影城(上海宝山日月光店),STARX Cinema (Baoshan Riyueguang),沪太路1923号宝山日月光中心C座2层K区202
Shanghai,Jiading District,嘉定影院,Jiading Cinema,城中路149号
Shanghai,Songjiang District,CGV影城(松江印象城杜比ULTRA 4DX店),CGV Cinema (Songjiang Impression City Dolby ULTRA 4DX),广富林路1768弄8号商场4层
Shanghai,Jinshan District,万达影城(金山万达广场店),Wanda Cinema (Jinshan Wanda Plaza),龙轩路1188号万达广场4楼4厅
Shanghai,Fengxian District,九棵树剧场,Nine Trees Theatre,树园路150弄1号
Shanghai,Chongming District,万达影城(崇明万达广场店),Wanda Cinema (Chongming Wanda Plaza),翠竹镇翠明大道3366号7层3F-4层
Shanghai,Qingpu District,CGV影城(青浦天空万科广场IMAX店),CGV Cinema (Qingpu Sky Vanke Plaza IMAX),徐泾镇朱清路2229路66号L3-01
Nanjing,Nanjing,幸福蓝海国际影城(荔枝广场旗舰店),Lumiere Pavilions International Cinema (Lizhi Plaza Flagship),玄武区花园路86号绿地广场7B6-8层
Suzhou,Suzhou,苏艺影城(艺术中心iMAX激光店),Suyi Cinema (Art Centre iMAX Laser),工业园区观前街1号文化艺术中心A1区
Hangzhou,Hangzhou,浙影时代影城(湖滨文化广场店)(IMAX激光),Zhejiang Film Times Cinema (Hubin Cultural Plaza)(IMAX Laser),西湖区延安路501号湖滨文化广场二楼2号
Ningbo,Ningbo,宁波影都(鄞州印象城CINITY店),Ningbo Yindu (Yinzhou Impression City CINITY),鄞州区宝船路268号鄞州印象城4楼
Hefei,Hefei,万达影城(合肥万方IDMALL店),Wanda Cinema (Hefei IDMALL),包河区芜湖路168号万方IDMALL F4层
