program_order,program_id,program_en,program_zh,program_short_en,program_short_zh,program_kind_en,program_kind_zh,program_color,program_blurb_en,program_blurb_zh,program_film_count,order_in_program,film_id,title_en,title_zh,year,director,director_zh,runtime_min,country,country_zh,language,format_tags,synopsis_en,synopsis_zh,poster_url,imdb_id,imdb_url,tmdb_id
1,tribute-wilder-monroe,Tribute · Wild Dreams: Billy Wilder × Marilyn Monroe,向大师致敬 ｜ 狂野之梦：比利·怀尔德 x 玛丽莲·梦露,Wilder × Monroe,怀尔德 × 梦露,Tribute,向大师致敬,#d65a8f,"Eight films from the partnership and orbit of two Hollywood legends, restored where possible.",比利·怀尔德与玛丽莲·梦露轨道交汇的八部经典，尽可能呈现修复版本。,8,1,tribute-wilder-monroe-double-indemnity,DOUBLE INDEMNITY,双重赔偿,1944,Billy Wilder,比利·怀尔德,107,USA,美国,English,,An insurance salesman and a discontented wife conspire toward a perfect murder. The film noir blueprint.,一名保险推销员与一位不满的妻子合谋一桩完美谋杀。黑色电影自此有了蓝图。,https://image.tmdb.org/t/p/w500/rVNYZZgfhwqVMMWlBmxOfWqnwCj.jpg,tt0036775,https://www.imdb.com/title/tt0036775/,996
1,tribute-wilder-monroe,Tribute · Wild Dreams: Billy Wilder × Marilyn Monroe,向大师致敬 ｜ 狂野之梦：比利·怀尔德 x 玛丽莲·梦露,Wilder × Monroe,怀尔德 × 梦露,Tribute,向大师致敬,#d65a8f,"Eight films from the partnership and orbit of two Hollywood legends, restored where possible.",比利·怀尔德与玛丽莲·梦露轨道交汇的八部经典，尽可能呈现修复版本。,8,2,tribute-wilder-monroe-the-lost-weekend,THE LOST WEEKEND,失去的周末,1945,Billy Wilder,比利·怀尔德,101,USA,美国,English,,Four days inside the bender of a Manhattan writer who cannot finish anything except a drink.,曼哈顿一位写作者四天的酗酒长夜——他什么都写不完，只能喝光每一杯。,https://image.tmdb.org/t/p/w500/yL6EJxPeYIcB9TChm56lHqXKzHC.jpg,tt0037884,https://www.imdb.com/title/tt0037884/,28580
1,tribute-wilder-monroe,Tribute · Wild Dreams: Billy Wilder × Marilyn Monroe,向大师致敬 ｜ 狂野之梦：比利·怀尔德 x 玛丽莲·梦露,Wilder × Monroe,怀尔德 × 梦露,Tribute,向大师致敬,#d65a8f,"Eight films from the partnership and orbit of two Hollywood legends, restored where possible.",比利·怀尔德与玛丽莲·梦露轨道交汇的八部经典，尽可能呈现修复版本。,8,3,tribute-wilder-monroe-a-foreign-affair,A FOREIGN AFFAIR,柏林艳史,1948,Billy Wilder,比利·怀尔德,116,USA,美国,English,,"Postwar Berlin, half-rubble: an Iowa congresswoman, an Army captain, and a cabaret singer with a past.",战后半成废墟的柏林：一位爱荷华女议员、一名陆军上尉，与一位带着过去的歌厅歌手。,https://image.tmdb.org/t/p/w500/3kVxhtmvAIjcqj6LP7pAp5aId97.jpg,tt0040367,https://www.imdb.com/title/tt0040367/,61650
1,tribute-wilder-monroe,Tribute · Wild Dreams: Billy Wilder × Marilyn Monroe,向大师致敬 ｜ 狂野之梦：比利·怀尔德 x 玛丽莲·梦露,Wilder × Monroe,怀尔德 × 梦露,Tribute,向大师致敬,#d65a8f,"Eight films from the partnership and orbit of two Hollywood legends, restored where possible.",比利·怀尔德与玛丽莲·梦露轨道交汇的八部经典，尽可能呈现修复版本。,8,4,tribute-wilder-monroe-ace-in-the-hole,ACE IN THE HOLE,倒扣的王牌,1951,Billy Wilder,比利·怀尔德,111,USA,美国,English,,A washed-up reporter milks a New Mexico cave-in for every column inch it's worth. Wilder at his most acid.,一名失意记者把新墨西哥洞窟塌方榨成头条专栏的每一寸版面。怀尔德最酸的一次出手。,https://image.tmdb.org/t/p/w500/gPVPzHEsJBX02HtBtIQgYnfeqNQ.jpg,tt0043338,https://www.imdb.com/title/tt0043338/,25364
1,tribute-wilder-monroe,Tribute · Wild Dreams: Billy Wilder × Marilyn Monroe,向大师致敬 ｜ 狂野之梦：比利·怀尔德 x 玛丽莲·梦露,Wilder × Monroe,怀尔德 × 梦露,Tribute,向大师致敬,#d65a8f,"Eight films from the partnership and orbit of two Hollywood legends, restored where possible.",比利·怀尔德与玛丽莲·梦露轨道交汇的八部经典，尽可能呈现修复版本。,8,5,tribute-wilder-monroe-sabrina,SABRINA,龙凤配,1954,Billy Wilder,比利·怀尔德,113,USA,美国,English,,"A chauffeur's daughter returns from Paris transformed. Two brothers — one ascetic, one rakish — both notice.",司机的女儿从巴黎归来，已是另一个人。两兄弟——一位禁欲、一位风流——都察觉到了。,https://image.tmdb.org/t/p/w500/e1Po9NDrH7IJZhv89467gJH5FS0.jpg,tt0047437,https://www.imdb.com/title/tt0047437/,6620
1,tribute-wilder-monroe,Tribute · Wild Dreams: Billy Wilder × Marilyn Monroe,向大师致敬 ｜ 狂野之梦：比利·怀尔德 x 玛丽莲·梦露,Wilder × Monroe,怀尔德 × 梦露,Tribute,向大师致敬,#d65a8f,"Eight films from the partnership and orbit of two Hollywood legends, restored where possible.",比利·怀尔德与玛丽莲·梦露轨道交汇的八部经典，尽可能呈现修复版本。,8,6,tribute-wilder-monroe-some-like-it-hot,SOME LIKE IT HOT,热情如火,1959,Billy Wilder,比利·怀尔德,121,USA,美国,English,,Two Chicago musicians witness a massacre and flee in drag with an all-girl orchestra to Florida. Nobody's perfect.,两名芝加哥乐手目击屠杀，乔装成女子，混入一支女子乐团逃往佛罗里达。没人完美。,https://image.tmdb.org/t/p/w500/hVIKyTK13AvOGv7ICmJjK44DTzp.jpg,tt0053291,https://www.imdb.com/title/tt0053291/,239
1,tribute-wilder-monroe,Tribute · Wild Dreams: Billy Wilder × Marilyn Monroe,向大师致敬 ｜ 狂野之梦：比利·怀尔德 x 玛丽莲·梦露,Wilder × Monroe,怀尔德 × 梦露,Tribute,向大师致敬,#d65a8f,"Eight films from the partnership and orbit of two Hollywood legends, restored where possible.",比利·怀尔德与玛丽莲·梦露轨道交汇的八部经典，尽可能呈现修复版本。,8,7,tribute-wilder-monroe-the-apartment,THE APARTMENT,桃色公寓,1960,Billy Wilder,比利·怀尔德,125,USA,美国,English,,"An ambitious clerk lends out his apartment to executives, then begins to lose what he thought he wanted.",一名向上爬的小职员把公寓借给上司幽会，渐渐失去了他以为想要的一切。,https://image.tmdb.org/t/p/w500/hhSRt1KKfRT0yEhEtRW3qp31JFU.jpg,tt0053604,https://www.imdb.com/title/tt0053604/,284
1,tribute-wilder-monroe,Tribute · Wild Dreams: Billy Wilder × Marilyn Monroe,向大师致敬 ｜ 狂野之梦：比利·怀尔德 x 玛丽莲·梦露,Wilder × Monroe,怀尔德 × 梦露,Tribute,向大师致敬,#d65a8f,"Eight films from the partnership and orbit of two Hollywood legends, restored where possible.",比利·怀尔德与玛丽莲·梦露轨道交汇的八部经典，尽可能呈现修复版本。,8,8,tribute-wilder-monroe-the-misfits,THE MISFITS,乱点鸳鸯谱,1961,John Huston,约翰·休斯顿,124,USA,美国,English,,"Nevada divorcée meets three drifting cowboys. Monroe's last finished film, written by Arthur Miller.",内华达的离婚女子遇见三名漂泊的牛仔。梦露最后完成的电影，剧本出自阿瑟·米勒之手。,https://image.tmdb.org/t/p/w500/rkIkyPhT5oetT463HxpdIuct30l.jpg,tt0055184,https://www.imdb.com/title/tt0055184/,11536
2,tribute-ken-loach,"Tribute · Ken Loach, Master of Realism",向大师致敬 ｜ 写实巨匠肯·洛奇,Ken Loach,肯·洛奇,Tribute,向大师致敬,#5a4a3a,"A through-line of working-class British cinema, from Kes to The Old Oak.",从《小孩与鹰》到《老橡树酒馆》——一条延续半世纪的英伦工人阶级叙事。,7,1,tribute-ken-loach-kes,KES,小孩与鹰,1969,Ken Loach,肯·洛奇,110,United Kingdom,英国,English,,"A Yorkshire schoolboy from a hard family finds a kestrel chick and, briefly, something to be proud of.",约克郡一户艰难家庭的少年，发现了一只茶隼幼鸟，从此短暂地有了可以骄傲的东西。,,,https://www.imdb.com/find/?q=KES+1969&s=tt&ttype=ft,
2,tribute-ken-loach,"Tribute · Ken Loach, Master of Realism",向大师致敬 ｜ 写实巨匠肯·洛奇,Ken Loach,肯·洛奇,Tribute,向大师致敬,#5a4a3a,"A through-line of working-class British cinema, from Kes to The Old Oak.",从《小孩与鹰》到《老橡树酒馆》——一条延续半世纪的英伦工人阶级叙事。,7,2,tribute-ken-loach-family-life,FAMILY LIFE,家庭生活,1971,Ken Loach,肯·洛奇,108,United Kingdom,英国,English,,"A young woman's breakdown, and the institutions — family, psychiatry, the state — that converge on her.",一位年轻女子的崩溃，以及向她聚拢的所有机制：家庭、精神病学、国家。,https://image.tmdb.org/t/p/w500/v98xRe6kJu6NEHwktzTZIqDZe8t.jpg,tt0068569,https://www.imdb.com/title/tt0068569/,56942
