web_scraper_order,web_scraper_start_url,pagination,data,phone,item_page_title,item_page_link,title,film_title_english
"1779026680-1","https://www.siff.com/list?cid=101241126180543631155265508478981641","https://www.siff.com/list?cid=101241126180543631155265508478981641&pageNum=2&pageSize=15","特别策划 ｜ 泥土与灵魂：陀思妥耶夫斯基的银幕变奏","2026-04-24","特别策划 ｜ 泥土与灵魂：陀思妥耶夫斯基的银幕变奏","https://www.siff.com/content?aid=101260423200413817090059680354309701","特别策划 ｜ 泥土与灵魂：陀思妥耶夫斯基的银幕变奏","扒手丨PICKPOCKET丨1959
 

卡拉马佐夫兄弟丨THE BROTHERS KARAMAZOV丨1969
 

罪与罚丨CRIME AND PUNISHMENT丨1983
 

双重人格丨THE DOUBLE丨2013
 

宿敌丨ENEMY丨2013
 
注：如遇片目变动，请以实际排片为准。"
"1779026682-2","https://www.siff.com/list?cid=101241126180543631155265508478981641","","影展精粹","2026-04-24","影展精粹","https://www.siff.com/content?aid=101260423202712817095844980330501467","影展精粹","纽伦堡 | NUREMBERG | 2025
 

尼娜与萝扎 | NINA ROZA | 2026
 

茫然女王 | QUEEN AT SEA | 2026
 

罗斯 | ROSE | 2026
 

临终祷文 | A PRAYER FOR THE DYING | 2026
 

梦中花园 | THE GARDEN WE DREAMED | 2026
 

乱世孤儿 | ORPHAN | 2025
 

忘恩负义之人 | UNGRATEFUL BEINGS | 2025
 

137号案件 | CASE 137 | 2025
 

接近终点 | SIRAT | 2025
 
注：如遇片目变动，请以实际排片为准。"
"1779026684-3","https://www.siff.com/list?cid=101241126180543631155265508478981641","","“一带一路”电影周","2026-04-27","“一带一路”电影周","https://www.siff.com/content?aid=101260427110556818404151573614597634","“一带一路”电影周","亡命警探｜A LOOSE END｜2025
 

母鸡｜HEN｜2025
 

上帝不会帮忙｜GOD WILL NOT HELP｜2025
 

破碎的声线｜BROKEN VOICES｜2025
 

艾瑞丝的忧夏｜HOLD ONTO ME｜2026
 

诈死｜DIYA｜2025
 

配角｜SUPPORTING ROLE｜2026
 
注：如遇片目变动，请以实际排片为准。"
"1779026686-4","https://www.siff.com/list?cid=101241126180543631155265508478981641","","SIFF动画","2026-04-29","SIFF动画","https://www.siff.com/content?aid=101260428132927818802655823400965832","SIFF动画","马塞尔·帕尼奥尔的华丽人生 | A MAGNIFICENT LIFE | 2025
 

木瓜行纪 | PAPAYA | 2026
 

黑暗之心 | HEART OF DARKNESS | 2025
 

泡泡骑士珍宝 | JUMBO | 2025
 

我住在凡尔赛的日子 | MY LIFE IN VERSAILLES | 2025
 

迷雾之海的莉迪亚 | LYDIA AND THE MIST RIDER | 2026
 

幻时之境 | THE LAND OF SOMETIMES | 2026
 

奥利维亚与无声震波 | OLIVIA AND THE INVISIBLE EARTHQUAKE | 2025
 
注：如遇片目变动，请以实际排片为准。"
"1779026688-5","https://www.siff.com/list?cid=101241126180543631155265508478981641","","向大师致敬 ｜ 狂野之梦：比利·怀尔德 x 玛丽莲·梦露","2026-04-30","向大师致敬 ｜ 狂野之梦：比利·怀尔德 x 玛丽莲·梦露","https://www.siff.com/content?aid=101260430171813819585000419627013579","向大师致敬 ｜ 狂野之梦：比利·怀尔德 x 玛丽莲·梦露","双重赔偿 | DOUBLE INDEMNITY | 1944
 

失去的周末 | THE LOST WEEKEND | 1945
 

柏林艳史 | A FOREIGN AFFAIR | 1948
 

倒扣的王牌 | ACE IN THE HOLE | 1951
 

龙凤配 | SABRINA | 1954
 

热情如火 | SOME LIKE IT HOT | 1959
 

桃色公寓 | THE APARTMENT | 1960
 

乱点鸳鸯谱 | THE MISFITS | 1961
 
注：如遇片目变动，请以实际排片为准。"
"1779026690-6","https://www.siff.com/list?cid=101241126180543631155265508478981641","","年度亚洲电影","2026-05-07","年度亚洲电影","https://www.siff.com/content?aid=101260507144348822082856326008837904","年度亚洲电影","总统的蛋糕 | THE PRESIDENT'S CAKE | 2025
 

荣耀嘻哈 | BADAK | 2025
 
注：如遇片目变动，请以实际排片为准。"
"1779026693-7","https://www.siff.com/list?cid=101241126180543631155265508478981641","","名导新作","2026-05-07","名导新作","https://www.siff.com/content?aid=101260507141635822076005580541957044","名导新作","父母姐弟 | FATHER MOTHER SISTER BROTHER | 2025
 

拯救地球 | BUGONIA | 2025
 

麦哲伦 | MAGELLAN | 2025
 

镜的第三乐章 | MIRRORS NO.3 | 2025
 
注：如遇片目变动，请以实际排片为准。"
"1779026695-8","https://www.siff.com/list?cid=101241126180543631155265508478981641","","放大","2026-05-07","放大","https://www.siff.com/content?aid=101260507144438822083066905235461219","放大","圣玛丽矿镇谜案 | CONRAD & CRAB – IDIOTIC GEMS | 2026
 

三级警戒 | CODE 3 | 2025
 

新钱游戏 | NEW MONEY | 2025
 
注：如遇片目变动，请以实际排片为准。"
"1779026697-9","https://www.siff.com/list?cid=101241126180543631155265508478981641","","向大师致敬 ｜ 写实巨匠肯·洛奇","2026-05-08","向大师致敬 ｜ 写实巨匠肯·洛奇","https://www.siff.com/content?aid=101260508181214822497699747074053715","向大师致敬 ｜ 写实巨匠肯·洛奇","小孩与鹰 | KES | 1969
 

家庭生活 | FAMILY LIFE | 1971
 

折翼母亲 | LADYBIRD LADYBIRD | 1994
 

我是布莱克 | I, DANIEL BLAKE | 2016
 

对不起，我们错过了你 | SORRY WE MISSED YOU | 2019
 

老橡树酒馆 | THE OLD OAK | 2023
 

对比：肯·洛奇的生活和影片 | VERSUS: THE LIFE AND FILMS OF KEN LOACH |  2016
 
注：如遇片目变动，请以实际排片为准。"
"1779026699-10","https://www.siff.com/list?cid=101241126180543631155265508478981641","","科幻电影周","2026-05-09","科幻电影周","https://www.siff.com/content?aid=101260509154717822823607557165061695","科幻电影周","人工智能 | A.I. ARTIFICIAL INTELLIGENCE | 2001
 

原始星球4K | FANTASTIC PLANET 4K | 1973
 

时间之主4K | THE MASTERS OF TIME 4K | 1987
 

甘达星人4K |  GANDAHAR 4K | 1987
 
注：如遇片目变动，请以实际排片为准。"
