web_scraper_order,web_scraper_start_url,pagination,data,phone,item_page_title,item_page_link,title,film_year_1
"1780141055-1","https://www.siff.com/list?cid=101241126180543631155265508478981641","https://www.siff.com/list?cid=101241126180543631155265508478981641&pageNum=3&pageSize=15","向大师致敬 ｜ 狂野之梦：比利·怀尔德 x 玛丽莲·梦露","2026-04-30","向大师致敬 ｜ 狂野之梦：比利·怀尔德 x 玛丽莲·梦露","https://www.siff.com/content?aid=101260430171813819585000419627013579","向大师致敬 ｜ 狂野之梦：比利·怀尔德 x 玛丽莲·梦露","双重赔偿 | DOUBLE INDEMNITY | 1944
 

失去的周末 | THE LOST WEEKEND | 1945
 

柏林艳史 | A FOREIGN AFFAIR | 1948
 

倒扣的王牌 | ACE IN THE HOLE | 1951
 

龙凤配 | SABRINA | 1954
 

热情如火 | SOME LIKE IT HOT | 1959
 

桃色公寓 | THE APARTMENT | 1960
 

乱点鸳鸯谱 | THE MISFITS | 1961
 
注：如遇片目变动，请以实际排片为准。"
"1780141062-2","https://www.siff.com/list?cid=101241126180543631155265508478981641","https://www.siff.com/list?cid=101241126180543631155265508478981641&pageNum=3&pageSize=15","向大师致敬 ｜ 写实巨匠肯·洛奇","2026-05-08","向大师致敬 ｜ 写实巨匠肯·洛奇","https://www.siff.com/content?aid=101260508181214822497699747074053715","向大师致敬 ｜ 写实巨匠肯·洛奇","小孩与鹰 | KES | 1969
 

家庭生活 | FAMILY LIFE | 1971
 

折翼母亲 | LADYBIRD LADYBIRD | 1994
 

我是布莱克 | I, DANIEL BLAKE | 2016
 

对不起，我们错过了你 | SORRY WE MISSED YOU | 2019
 

老橡树酒馆 | THE OLD OAK | 2023
 

对比：肯·洛奇的生活和影片 | VERSUS: THE LIFE AND FILMS OF KEN LOACH |  2016
 
注：如遇片目变动，请以实际排片为准。"
"1780141064-3","https://www.siff.com/list?cid=101241126180543631155265508478981641","https://www.siff.com/list?cid=101241126180543631155265508478981641&pageNum=3&pageSize=15","科幻电影周","2026-05-09","科幻电影周","https://www.siff.com/content?aid=101260509154717822823607557165061695","科幻电影周","人工智能 | A.I. ARTIFICIAL INTELLIGENCE | 2001
 

原始星球4K | FANTASTIC PLANET 4K | 1973
 

时间之主4K | THE MASTERS OF TIME 4K | 1987
 

甘达星人4K |  GANDAHAR 4K | 1987
 
注：如遇片目变动，请以实际排片为准。"
"1780141081-4","https://www.siff.com/list?cid=101241126180543631155265508478981641","https://www.siff.com/list?cid=101241126180543631155265508478981641&pageNum=2&pageSize=15","新视野 ｜ 杜比视界","2026-05-09","新视野 ｜ 杜比视界","https://www.siff.com/content?aid=101260509155512822825602053574661668","新视野 ｜ 杜比视界","变形金刚大电影 (DOLBY VISION) | THE TRANSFORMERS: THE MOVIE (DOLBY VISION) | 1986
 

无痛凯恩 (DOLBY VISION) | NOVOCAINE (DOLBY VISION) | 2025
 
注：如遇片目变动，请以实际排片为准。"
"1780141091-5","https://www.siff.com/list?cid=101241126180543631155265508478981641","https://www.siff.com/list?cid=101241126180543631155265508478981641&pageNum=2&pageSize=15","影像无限","2026-05-14","影像无限","https://www.siff.com/content?aid=101260514150129824624022640660485578","影像无限","剧院魅影：25周年纪念演出 | THE PHANTOM OF THE OPERA AT THE ROYAL ALBERT HALL | 2011
 

落叶球 | DRY LEAF | 2025
 
注：如遇片目变动，请以实际排片为准。"
"1780141106-6","https://www.siff.com/list?cid=101241126180543631155265508478981641","https://www.siff.com/list?cid=101241126180543631155265508478981641&pageNum=2&pageSize=15","新视野 ｜ IMAX","2026-05-16","新视野 ｜ IMAX","https://www.siff.com/content?aid=101260516170059825378869698629637281","新视野 ｜ IMAX","冲破黑暗谷(IMAX) | TOMMY (IMAX) | 1975
 

滚石乐队 至臻现场 (IMAX) | ROLLING STONES: AT THE MAX (IMAX) | 1991
 

忘梦洞 (3D IMAX) | CAVE OF FORGOTTEN DREAMS (3D IMAX) | 2010
 

沙丘 (IMAX) | DUNE: PART ONE (IMAX) | 2021
 

沙丘2 (IMAX) | DUNE: PART TWO (IMAX) | 2024
 

传奇：演唱的猫王(IMAX) | EPIC: ELVIS PRESLEY IN CONCERT (IMAX) | 2025
 

风暴边缘 (IMAX) | STORMBOUND (IMAX) | 2025
 

凶器 (IMAX) | WEAPONS (IMAX) | 2025
 
注：如遇片目变动，请以实际排片为准。"
"1780141119-7","https://www.siff.com/list?cid=101241126180543631155265508478981641","https://www.siff.com/list?cid=101241126180543631155265508478981641&pageNum=2&pageSize=15","向大师致敬｜特别纪念","2026-05-18","向大师致敬｜特别纪念","https://www.siff.com/content?aid=101260424112521817321871199440901496","向大师致敬｜特别纪念","假凤虚凰 | PHONY PHOENIXES | 1947
 

哀乐中年 4K | SORROWS AND JOYS OF A MIDDLE-AGED MAN 4K | 1949
 

405谋杀案 | MURDER IN 405 | 1980
 

蔑视 4K | CONTEMPT 4K | 1963
 

安妮·霍尔 4K | ANNIE HALL 4K | 1977
 

伴我同行 4K | STAND BY ME 4K | 1986
 

当哈利遇到莎莉 4K | WHEN HARRY MET SALLY… 4K | 1989
 

危情十日 4K | MISERY 4K | 1990
 

好人寥寥 4K | A FEW GOOD MEN 4K | 1992
 

遗愿清单 | THE BUCKET LIST | 2007
 

怦然心动 | FLIPPED | 2010
 

居巢 4K | FAMILY NEST 4K | 1979
 

异乡人 4K | THE OUTSIDER 4K | 1981
 

积木人生 | THE PREFAB PEOPLE | 1982
 

秋天年鉴 | ALMANAC OF FALL | 1984
 

诅咒 4K | DAMNATION 4K | 1988
 

撒旦探戈 4K | SATAN’S TANGO 4K | 1994
 

鲸鱼马戏团 4K | WERCKMEISTER HARMONIES 4K | 2000
 

来自伦敦的男人 | THE MAN FROM LONDON | 2007
 

都灵之马 | THE TURIN HORSE | 2011
 

凯德警长 4K | THE CHASE 4K | 1966
 

骗中骗 4K | THE STING 4K | 1973
 

总统班底 4K | ALL THE PRESIDENT’S MEN 4K | 1976
 

走出非洲 4K | OUT OF AFRICA 4K | 1985
 

大河恋 4K | A RIVER RUNS THROUGH IT 4K | 1992
 

提提卡失序记事 | TITICUT FOLLIES | 1967
 

高中 | HIGH SCHOOL | 1968
 

动物园 | ZOO | 1993
 

特鲁瓦格罗餐厅 | Menus-Plaisirs—Les Troisgros | 2023
 
注：如遇片目变动，请以实际排片为准。"
"1780141126-8","https://www.siff.com/list?cid=101241126180543631155265508478981641","https://www.siff.com/list?cid=101241126180543631155265508478981641&pageNum=2&pageSize=15","SIFF动画","2026-05-19","SIFF动画","https://www.siff.com/content?aid=101260428132927818802655823400965832","SIFF动画","马塞尔·帕尼奥尔的华丽人生 | A MAGNIFICENT LIFE | 2025
 

木瓜行纪 | PAPAYA | 2026
 

黑暗之心 | HEART OF DARKNESS | 2025
 

泡泡骑士珍宝 | JUMBO | 2025
 

我住在凡尔赛的日子 | MY LIFE IN VERSAILLES | 2025
 

迷雾之海的莉迪亚 | LYDIA AND THE MIST RIDER | 2026
 

幻时之境 | THE LAND OF SOMETIMES | 2026
 

奥利维亚与无声震波 | OLIVIA AND THE INVISIBLE EARTHQUAKE | 2025
 

玛丽·安宁：化石猎人 | MARY ANNING | 2025
 

传奇小队 | THE LEGENDARIES | 2026
 
注：如遇片目变动，请以实际排片为准。"
"1780141153-9","https://www.siff.com/list?cid=101241126180543631155265508478981641","https://www.siff.com/list?cid=101241126180543631155265508478981641&pageNum=2&pageSize=15","评委主席及评委作品展","2026-05-20","评委主席及评委作品展","https://www.siff.com/content?aid=101260520152156826803496694059013308","评委主席及评委作品展","爸妈不在家 | ILO ILO | 2013
 

热带雨 | WET SEASON | 2019
 

我们不是陌生人 | WE ARE ALL STRANGERS | 2026
 

尤妮的婚途 | YUNI | 2021
 

疏散 | EVACUATION | 2025
 

不虚此行 | ALL EARS | 2023
 

小羊肖恩2：末日农场 | A SHAUN THE SHEEP MOVIE: FARMAGEDDON | 2019
 

橙 | ORANGE | 2002
 

印刷的彩虹 | PRINTED RAINBOW | 2006
 

茶 | CHAI | 2013
 

真爱故事 | TRUE LOVE STORY | 2014
 

孟买玫瑰之歌 | REWA: BOMBAY ROSE SONG | 2019
 

乌马尔与邮局之灯 | UMAR AND THE WICK OF GRIME | 2020
 

明天，我的爱 | TOMORROW MY LOVE | 2021
 

浪浪山小妖怪 | NOBODY | 2025
 
注：如遇片目变动，请以实际排片为准。"
"1780141179-10","https://www.siff.com/list?cid=101241126180543631155265508478981641","https://www.siff.com/list?cid=101241126180543631155265508478981641&pageNum=2&pageSize=15","银幕意蕴","2026-05-22","银幕意蕴","https://www.siff.com/content?aid=101260522183159827576097683017733715","银幕意蕴","请记得我 | KEEP ME IN MIND | 2025
 

明天提问 | CLASSMATES | 2025
 

微笑村恐怖事件 | THE HOLY BOY | 2025
 

我的喜悦夏天 | SWEETHEART | 2025
 

春 | PRIMAVERA | 2025
 

安娜·玛尼亚尼的传奇人生 | ANNA MAGNANI - THE UNTOLD STORY | 2025
 

我们的最后一年 | ONE YEAR OF SCHOOL | 2025
 

三声再见 | THREE GOODBYES | 2025
 

 
注：如遇片目变动，请以实际排片为准。"
